DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station
55,13,7.925,315.0,-22.7,69.0,CP
56,23,2.45,315.0,-22.7,68.9,CP
56,0,2.5,315.0,-22.7,68.9,CP
56,1,2.45,315.0,-22.7,68.9,CP
56,11,4.25,315.0,-22.7,68.9,CP
56,12,6.625,315.0,-22.7,68.9,CP
56,13,8.05,315.0,-22.7,68.9,CP
57,23,2.75,315.0,-22.7,69.2,CP
57,0,2.8,315.0,-22.7,69.2,CP
57,1,2.45,315.0,-22.7,69.2,CP
57,11,5.4,315.0,-22.7,69.2,CP
57,12,7.525,315.0,-22.7,69.2,CP
57,13,8.725,315.0,-22.7,69.2,CP
58,23,3.25,315.0,-22.7,69.4,CP
58,0,3.0,315.0,-22.7,69.4,CP
58,1,2.55,315.0,-22.7,69.4,CP
58,11,5.925,315.0,-22.7,69.4,CP
58,12,6.825,315.0,-22.7,69.4,CP
58,13,7.8,315.0,-22.7,69.4,CP
59,23,3.85,315.0,-22.7,68.8,CP
59,0,4.05,315.0,-22.7,68.8,CP
59,1,4.35,315.0,-22.7,68.8,CP
59,11,7.775,315.0,-22.7,68.8,CP
59,12,8.675,315.0,-22.7,68.8,CP
59,13,9.275,315.0,-22.7,68.8,CP
60,23,3.75,315.0,-22.7,68.7,CP
60,0,3.6,315.0,-22.7,68.7,CP
60,1,3.55,315.0,-22.7,68.7,CP
60,11,6.7,315.0,-22.7,68.7,CP
60,12,7.85,315.0,-22.7,68.7,CP
60,13,8.45,315.0,-22.7,68.7,CP
61,23,4.2,315.0,-22.7,68.2,CP
61,0,3.25,315.0,-22.7,68.2,CP
61,1,3.15,315.0,-22.7,68.2,CP
61,11,7.4,315.0,-22.7,68.2,CP
61,12,9.025,315.0,-22.7,68.2,CP
61,13,10.425,315.0,-22.7,68.2,CP
62,23,3.65,315.0,-22.7,68.3,CP
62,0,3.4,315.0,-22.7,68.3,CP
62,1,3.35,315.0,-22.7,68.3,CP
62,11,6.675,315.0,-22.7,68.3,CP
62,12,7.7,315.0,-22.7,68.3,CP
62,13,9.2,315.0,-22.7,68.3,CP
63,23,2.6,315.0,-22.7,69.7,CP
63,0,2.6,315.0,-22.7,69.7,CP
63,1,2.75,315.0,-22.7,69.7,CP
63,11,7.725,315.0,-22.7,69.7,CP
63,12,8.05,315.0,-22.7,69.7,CP
63,13,8.775,315.0,-22.7,69.7,CP
64,23,3.4,315.0,-22.7,70.8,CP
64,0,3.5,315.0,-22.7,70.8,CP
64,1,3.45,315.0,-22.7,70.8,CP
64,11,6.75,315.0,-22.7,70.8,CP
64,12,8.1,315.0,-22.7,70.8,CP
64,13,9.225,315.0,-22.7,70.8,CP
65,23,3.45,315.0,-22.7,71.3,CP
65,0,3.3,315.0,-22.7,71.3,CP
65,1,2.95,315.0,-22.7,71.3,CP
66,23,5.6,315.0,-22.7,69.9,CP
66,0,6.875,315.0,-22.7,69.9,CP
66,1,7.975,315.0,-22.7,69.9,CP
67,23,4.75,315.0,-22.7,70.7,CP
67,0,3.9,315.0,-22.7,70.7,CP
67,1,3.85,315.0,-22.7,70.7,CP
67,11,7.35,315.0,-22.7,70.7,CP
67,12,8.825,315.0,-22.7,70.7,CP
67,13,9.2,315.0,-22.7,70.7,CP
68,23,3.5,315.0,-22.7,69.7,CP
68,0,3.3,315.0,-22.7,69.7,CP
68,1,2.95,315.0,-22.7,69.7,CP
68,11,5.775,315.0,-22.7,69.7,CP
68,12,6.575,315.0,-22.7,69.7,CP
68,13,7.825,315.0,-22.7,69.7,CP
69,23,2.55,315.0,-22.7,70.1,CP
69,0,2.25,315.0,-22.7,70.1,CP
69,1,2.3,315.0,-22.7,70.1,CP
69,11,9.025,315.0,-22.7,70.1,CP
69,12,9.175,315.0,-22.7,70.1,CP
69,13,9.475,315.0,-22.7,70.1,CP
70,23,2.6,315.0,-22.7,69.5,CP
70,0,2.65,315.0,-22.7,69.5,CP
70,1,2.7,315.0,-22.7,69.5,CP
70,11,8.325,315.0,-22.7,69.5,CP
70,12,7.125,315.0,-22.7,69.5,CP
70,13,7.025,315.0,-22.7,69.5,CP
71,23,2.95,315.0,-22.7,69.8,CP
71,0,2.9,315.0,-22.7,69.8,CP
71,1,2.65,315.0,-22.7,69.8,CP
71,11,6.575,315.0,-22.7,69.8,CP
71,12,7.225,315.0,-22.7,69.8,CP
71,13,8.9,315.0,-22.7,69.8,CP
72,23,2.95,315.0,-22.7,70.0,CP
72,0,2.7,315.0,-22.7,70.0,CP
72,1,2.55,315.0,-22.7,70.0,CP
72,11,7.275,315.0,-22.7,70.0,CP
72,12,8.275,315.0,-22.7,70.0,CP
72,13,8.975,315.0,-22.7,70.0,CP
73,23,3.75,315.0,-22.7,69.3,CP
73,0,3.75,315.0,-22.7,69.3,CP
73,1,3.65,315.0,-22.7,69.3,CP
73,11,6.075,315.0,-22.7,69.3,CP
73,12,8.325,315.0,-22.7,69.3,CP
73,13,9.725,315.0,-22.7,69.3,CP
74,23,3.25,315.0,-22.7,68.9,CP
74,0,3.25,315.0,-22.7,68.9,CP
74,1,3.5,315.0,-22.7,68.9,CP
74,11,6.475,315.0,-22.7,68.9,CP
74,12,6.675,315.0,-22.7,68.9,CP
74,13,8.175,315.0,-22.7,68.9,CP
75,23,2.75,315.0,-22.7,68.8,CP
75,0,2.7,315.0,-22.7,68.8,CP
75,1,2.65,315.0,-22.7,68.8,CP
75,11,6.025,315.0,-22.7,68.8,CP
75,12,7.3,315.0,-22.7,68.8,CP
75,13,8.4,315.0,-22.7,68.8,CP
76,23,3.35,315.0,-22.7,68.6,CP
76,0,3.45,315.0,-22.7,68.6,CP
76,1,3.45,315.0,-22.7,68.6,CP
76,11,6.725,315.0,-22.7,68.6,CP
76,12,7.425,315.0,-22.7,68.6,CP
76,13,8.925,315.0,-22.7,68.6,CP
77,23,3.2,315.0,-22.7,69.3,CP
77,0,3.15,315.0,-22.7,69.3,CP
77,1,3.5,315.0,-22.7,69.3,CP
77,11,7.65,315.0,-22.7,69.3,CP
77,12,6.9,315.0,-22.7,69.3,CP
77,13,7.575,315.0,-22.7,69.3,CP
78,23,2.8,315.0,-22.7,69.1,CP
78,0,2.9,315.0,-22.7,69.1,CP
78,1,2.75,315.0,-22.7,69.1,CP
78,11,6.825,315.0,-22.7,69.1,CP
78,12,7.925,315.0,-22.7,69.1,CP
78,13,8.65,315.0,-22.7,69.1,CP
80,23,2.7,315.0,-22.7,79.4,CP
80,0,2.85,315.0,-22.7,79.4,CP
80,1,2.85,315.0,-22.7,79.4,CP
80,11,6.55,315.0,-22.7,79.4,CP
80,12,7.15,315.0,-22.7,79.4,CP
80,13,8.975,315.0,-22.7,79.4,CP
81,23,2.95,315.0,-22.7,81.8,CP
81,0,2.85,315.0,-22.7,81.8,CP
81,1,3.4,315.0,-22.7,81.8,CP
81,11,7.175,315.0,-22.7,81.8,CP
81,12,7.925,315.0,-22.7,81.8,CP
81,13,9.375,315.0,-22.7,81.8,CP
82,23,2.8,315.0,-22.7,78.9,CP
82,0,3.1,315.0,-22.7,78.9,CP
82,1,2.35,315.0,-22.7,78.9,CP
82,11,6.975,315.0,-22.7,78.9,CP
82,12,7.6,315.0,-22.7,78.9,CP
82,13,9.0,315.0,-22.7,78.9,CP
83,23,2.5,315.0,-22.7,75.0,CP
83,0,2.55,315.0,-22.7,75.0,CP
83,1,2.3,315.0,-22.7,75.0,CP
83,11,7.475,315.0,-22.7,75.0,CP
83,12,8.425,315.0,-22.7,75.0,CP
83,13,10.15,315.0,-22.7,75.0,CP
84,23,2.25,315.0,-22.7,70.8,CP
84,0,2.2,315.0,-22.7,70.8,CP
84,1,2.5,315.0,-22.7,70.8,CP
84,11,7.175,315.0,-22.7,70.8,CP
84,12,8.325,315.0,-22.7,70.8,CP
84,13,9.475,315.0,-22.7,70.8,CP
85,23,2.2,315.0,-22.7,68.7,CP
85,0,2.2,315.0,-22.7,68.7,CP
85,1,2.35,315.0,-22.7,68.7,CP
85,11,7.25,315.0,-22.7,68.7,CP
85,12,7.625,315.0,-22.7,68.7,CP
85,13,9.275,315.0,-22.7,68.7,CP
86,23,2.4,315.0,-22.7,68.6,CP
86,0,2.3,315.0,-22.7,68.6,CP
86,1,2.3,315.0,-22.7,68.6,CP
86,11,7.225,315.0,-22.7,68.6,CP
86,12,8.025,315.0,-22.7,68.6,CP
86,13,8.675,315.0,-22.7,68.6,CP
87,23,2.9,315.0,-22.7,68.1,CP
87,0,2.95,315.0,-22.7,68.1,CP
87,1,2.75,315.0,-22.7,68.1,CP
87,11,6.975,315.0,-22.7,68.1,CP
87,12,7.975,315.0,-22.7,68.1,CP
87,13,8.675,315.0,-22.7,68.1,CP
88,23,2.8,315.0,-22.7,68.6,CP
88,0,2.1,315.0,-22.7,68.6,CP
88,1,2.6,315.0,-22.7,68.6,CP
88,11,5.925,315.0,-22.7,68.6,CP
88,12,7.125,315.0,-22.7,68.6,CP
88,13,8.675,315.0,-22.7,68.6,CP
89,23,2.7,315.0,-22.7,69.2,CP
89,0,2.7,315.0,-22.7,69.2,CP
89,1,2.7,315.0,-22.7,69.2,CP
89,11,7.325,315.0,-22.7,69.2,CP
89,12,7.713,315.0,-22.7,69.2,CP
89,13,7.475,315.0,-22.7,69.2,CP
90,23,2.4,315.0,-22.7,69.4,CP
90,0,2.4,315.0,-22.7,69.4,CP
90,1,2.15,315.0,-22.7,69.4,CP
90,11,8.625,315.0,-22.7,69.4,CP
90,12,9.175,315.0,-22.7,69.4,CP
90,13,10.55,315.0,-22.7,69.4,CP
91,23,3.0,315.0,-22.7,69.2,CP
91,0,2.85,315.0,-22.7,69.2,CP
91,1,3.05,315.0,-22.7,69.2,CP
91,11,7.675,315.0,-22.7,69.2,CP
91,12,6.425,315.0,-22.7,69.2,CP
91,13,6.475,315.0,-22.7,69.2,CP
92,23,1.85,315.0,-22.7,70.8,CP
92,0,2.95,315.0,-22.7,70.8,CP
92,1,1.8,315.0,-22.7,70.8,CP
92,11,8.075,315.0,-22.7,70.8,CP
