DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station,foF2_C,foF2_U
20,17,8.750,315.000,-22.700,67.000,CP,7.910,9.035
20,18,7.725,315.000,-22.700,67.000,CP,7.875,9.032
20,19,6.900,315.000,-22.700,67.000,CP,7.766,8.831
20,20,6.675,315.000,-22.700,67.000,CP,7.365,8.366
20,21,6.750,315.000,-22.700,67.000,CP,6.651,7.673
20,22,6.650,315.000,-22.700,67.000,CP,5.917,6.884
20,23,6.250,315.000,-22.700,67.000,CP,5.446,6.154
21,0,5.150,315.000,-22.700,67.700,CP,5.196,5.596
21,1,5.350,315.000,-22.700,67.700,CP,4.834,5.165
21,2,3.950,315.000,-22.700,67.700,CP,4.229,4.809
21,3,3.450,315.000,-22.700,67.700,CP,3.639,4.511
21,4,2.950,315.000,-22.700,67.700,CP,3.408,4.251
21,5,2.900,315.000,-22.700,67.700,CP,3.434,3.881
21,6,2.650,315.000,-22.700,67.700,CP,3.267,3.317
21,7,2.700,315.000,-22.700,67.700,CP,2.854,2.866
21,8,2.200,315.000,-22.700,67.700,CP,2.812,3.033
21,9,3.600,315.000,-22.700,67.700,CP,3.599,3.852
21,10,4.150,315.000,-22.700,67.700,CP,4.754,4.746
21,11,4.275,315.000,-22.700,67.700,CP,5.437,5.252
21,12,4.850,315.000,-22.700,67.700,CP,5.557,5.611
21,13,5.675,315.000,-22.700,67.700,CP,5.791,6.320
21,14,6.775,315.000,-22.700,67.700,CP,6.536,7.380
21,15,7.675,315.000,-22.700,67.700,CP,7.390,8.327
21,16,8.425,315.000,-22.700,67.700,CP,7.832,8.852
21,17,8.900,315.000,-22.700,67.700,CP,7.885,9.041
28,0,4.100,315.000,-22.700,73.500,CP,5.271,5.656
28,1,3.250,315.000,-22.700,73.500,CP,4.860,5.124
28,2,3.100,315.000,-22.700,73.500,CP,4.224,4.691
28,3,3.150,315.000,-22.700,73.500,CP,3.596,4.357
28,4,3.500,315.000,-22.700,73.500,CP,3.309,4.085
28,5,3.200,315.000,-22.700,73.500,CP,3.349,3.725
28,6,3.000,315.000,-22.700,73.500,CP,3.317,3.201
28,7,2.500,315.000,-22.700,73.500,CP,3.037,2.808
28,8,2.350,315.000,-22.700,73.500,CP,2.967,3.018
28,9,3.725,315.000,-22.700,73.500,CP,3.622,3.854
28,10,4.650,315.000,-22.700,73.500,CP,4.714,4.753
28,11,4.550,315.000,-22.700,73.500,CP,5.416,5.267
28,12,4.600,315.000,-22.700,73.500,CP,5.503,5.620
28,13,5.000,315.000,-22.700,73.500,CP,5.633,6.303
28,14,5.850,315.000,-22.700,73.500,CP,6.317,7.330
28,15,7.150,315.000,-22.700,73.500,CP,7.196,8.270
