DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station,foF2_C,foF2_U
20,1,2.350,315.000,-22.700,67.000,CP,4.830,5.171
20,11,5.700,315.000,-22.700,67.000,CP,5.440,5.250
20,12,6.275,315.000,-22.700,67.000,CP,5.564,5.609
20,13,8.200,315.000,-22.700,67.000,CP,5.814,6.322
21,23,3.950,315.000,-22.700,67.700,CP,5.461,6.171
21,0,3.450,315.000,-22.700,67.700,CP,5.196,5.596
21,1,2.950,315.000,-22.700,67.700,CP,4.834,5.165
21,11,6.775,315.000,-22.700,67.700,CP,5.437,5.252
21,12,7.675,315.000,-22.700,67.700,CP,5.557,5.611
21,13,8.425,315.000,-22.700,67.700,CP,5.791,6.320
25,23,5.350,315.000,-22.700,72.700,CP,5.521,6.240
25,0,3.800,315.000,-22.700,72.700,CP,5.239,5.631
26,23,2.750,315.000,-22.700,74.300,CP,5.536,6.257
26,0,2.650,315.000,-22.700,74.300,CP,5.249,5.639
26,1,2.750,315.000,-22.700,74.300,CP,4.853,5.136
26,11,5.650,315.000,-22.700,74.300,CP,5.422,5.263
26,12,6.650,315.000,-22.700,74.300,CP,5.519,5.618
26,13,7.500,315.000,-22.700,74.300,CP,5.678,6.307
27,23,5.600,315.000,-22.700,72.800,CP,5.551,6.274
27,0,5.300,315.000,-22.700,72.800,CP,5.260,5.648
27,1,4.600,315.000,-22.700,72.800,CP,4.857,5.130
27,11,5.150,315.000,-22.700,72.800,CP,5.419,5.265
27,12,6.275,315.000,-22.700,72.800,CP,5.511,5.619
27,13,7.350,315.000,-22.700,72.800,CP,5.655,6.305
28,23,3.100,315.000,-22.700,73.500,CP,5.566,6.291
28,0,3.150,315.000,-22.700,73.500,CP,5.271,5.656
28,1,3.500,315.000,-22.700,73.500,CP,4.860,5.124
28,11,5.850,315.000,-22.700,73.500,CP,5.416,5.267
28,12,7.150,315.000,-22.700,73.500,CP,5.503,5.620
28,13,7.975,315.000,-22.700,73.500,CP,5.633,6.303
29,23,6.750,315.000,-22.700,70.900,CP,5.581,6.308
29,0,6.150,315.000,-22.700,70.900,CP,5.281,5.665
29,1,6.050,315.000,-22.700,70.900,CP,4.864,5.118
29,11,6.200,315.000,-22.700,70.900,CP,5.413,5.269
29,12,7.500,315.000,-22.700,70.900,CP,5.496,5.622
29,13,8.700,315.000,-22.700,70.900,CP,5.610,6.300
30,23,3.450,315.000,-22.700,71.400,CP,5.596,6.325
30,0,3.250,315.000,-22.700,71.400,CP,5.292,5.673
30,1,3.000,315.000,-22.700,71.400,CP,4.868,5.113
30,11,4.800,315.000,-22.700,71.400,CP,5.410,5.271
30,12,5.400,315.000,-22.700,71.400,CP,5.488,5.623
30,13,6.400,315.000,-22.700,71.400,CP,5.587,6.298
31,23,6.950,315.000,-22.700,70.000,CP,5.611,6.342
31,0,5.300,315.000,-22.700,70.000,CP,5.303,5.682
31,1,5.700,315.000,-22.700,70.000,CP,4.872,5.107
31,11,5.900,315.000,-22.700,70.000,CP,5.407,5.273
31,12,6.300,315.000,-22.700,70.000,CP,5.480,5.624
31,13,7.600,315.000,-22.700,70.000,CP,5.565,6.295
32,23,4.000,315.000,-22.700,70.000,CP,5.626,6.359
32,0,4.450,315.000,-22.700,70.000,CP,5.313,5.690
32,1,4.250,315.000,-22.700,70.000,CP,4.875,5.101
32,11,5.725,315.000,-22.700,70.000,CP,5.404,5.275
32,12,7.950,315.000,-22.700,70.000,CP,5.473,5.626
32,13,8.050,315.000,-22.700,70.000,CP,5.542,6.293
33,23,5.150,315.000,-22.700,68.800,CP,5.641,6.376
33,0,5.300,315.000,-22.700,68.800,CP,5.324,5.699
33,1,4.750,315.000,-22.700,68.800,CP,4.879,5.095
33,11,6.450,315.000,-22.700,68.800,CP,5.401,5.277
33,12,6.725,315.000,-22.700,68.800,CP,5.465,5.627
33,13,7.325,315.000,-22.700,68.800,CP,5.519,6.290
34,23,2.900,315.000,-22.700,69.100,CP,5.656,6.393
34,0,2.950,315.000,-22.700,69.100,CP,5.335,5.707
34,1,2.500,315.000,-22.700,69.100,CP,4.883,5.089
34,11,6.325,315.000,-22.700,69.100,CP,5.398,5.279
34,12,7.850,315.000,-22.700,69.100,CP,5.458,5.628
34,13,6.825,315.000,-22.700,69.100,CP,5.497,6.288
35,23,4.250,315.000,-22.700,68.700,CP,5.671,6.410
35,0,4.150,315.000,-22.700,68.700,CP,5.345,5.716
35,1,3.400,315.000,-22.700,68.700,CP,4.887,5.084
35,11,5.525,315.000,-22.700,68.700,CP,5.395,5.281
35,12,7.050,315.000,-22.700,68.700,CP,5.450,5.630
35,13,8.450,315.000,-22.700,68.700,CP,5.474,6.285
36,23,3.750,315.000,-22.700,68.700,CP,5.686,6.427
36,0,3.800,315.000,-22.700,68.700,CP,5.356,5.724
36,1,3.850,315.000,-22.700,68.700,CP,4.890,5.078
36,11,4.325,315.000,-22.700,68.700,CP,5.392,5.283
36,12,5.875,315.000,-22.700,68.700,CP,5.442,5.631
36,13,7.450,315.000,-22.700,68.700,CP,5.451,6.283
37,23,2.800,315.000,-22.700,67.900,CP,5.701,6.444
37,0,2.550,315.000,-22.700,67.900,CP,5.367,5.733
37,1,2.400,315.000,-22.700,67.900,CP,4.894,5.072
37,11,6.075,315.000,-22.700,67.900,CP,5.389,5.285
37,12,7.475,315.000,-22.700,67.900,CP,5.435,5.633
37,13,9.050,315.000,-22.700,67.900,CP,5.429,6.280
38,23,4.600,315.000,-22.700,68.300,CP,5.716,6.461
38,0,4.250,315.000,-22.700,68.300,CP,5.377,5.741
38,1,4.550,315.000,-22.700,68.300,CP,4.898,5.066
38,11,4.850,315.000,-22.700,68.300,CP,5.386,5.287
38,12,5.850,315.000,-22.700,68.300,CP,5.427,5.634
38,13,7.225,315.000,-22.700,68.300,CP,5.406,6.278
39,23,4.250,315.000,-22.700,68.100,CP,5.731,6.478
39,0,4.000,315.000,-22.700,68.100,CP,5.388,5.750
39,1,4.050,315.000,-22.700,68.100,CP,4.901,5.060
39,11,6.625,315.000,-22.700,68.100,CP,5.383,5.289
39,12,7.350,315.000,-22.700,68.100,CP,5.420,5.635
39,13,8.150,315.000,-22.700,68.100,CP,5.383,6.276
40,23,2.900,315.000,-22.700,68.400,CP,5.746,6.495
40,0,3.000,315.000,-22.700,68.400,CP,5.398,5.758
40,1,2.900,315.000,-22.700,68.400,CP,4.905,5.054
40,11,6.325,315.000,-22.700,68.400,CP,5.380,5.291
40,12,7.550,315.000,-22.700,68.400,CP,5.412,5.637
40,13,8.300,315.000,-22.700,68.400,CP,5.361,6.273
41,23,3.750,315.000,-22.700,68.100,CP,5.761,6.512
41,0,3.350,315.000,-22.700,68.100,CP,5.409,5.766
41,1,3.100,315.000,-22.700,68.100,CP,4.909,5.048
41,11,6.050,315.000,-22.700,68.100,CP,5.377,5.293
41,12,7.200,315.000,-22.700,68.100,CP,5.404,5.638
41,13,8.350,315.000,-22.700,68.100,CP,5.338,6.271
42,23,3.350,315.000,-22.700,68.000,CP,5.776,6.529
42,0,3.100,315.000,-22.700,68.000,CP,5.420,5.775
42,1,3.100,315.000,-22.700,68.000,CP,4.913,5.043
42,11,4.950,315.000,-22.700,68.000,CP,5.374,5.295
42,12,5.825,315.000,-22.700,68.000,CP,5.397,5.639
42,13,6.425,315.000,-22.700,68.000,CP,5.315,6.268
43,23,3.700,315.000,-22.700,68.400,CP,5.791,6.546
43,0,3.350,315.000,-22.700,68.400,CP,5.430,5.783
43,1,3.100,315.000,-22.700,68.400,CP,4.916,5.037
43,11,5.700,315.000,-22.700,68.400,CP,5.371,5.297
43,12,6.850,315.000,-22.700,68.400,CP,5.389,5.641
43,13,7.250,315.000,-22.700,68.400,CP,5.293,6.266
44,23,4.650,315.000,-22.700,68.600,CP,5.806,6.563
44,0,4.800,315.000,-22.700,68.600,CP,5.441,5.792
44,1,5.500,315.000,-22.700,68.600,CP,4.920,5.031
44,11,4.450,315.000,-22.700,68.600,CP,5.368,5.299
44,12,6.050,315.000,-22.700,68.600,CP,5.381,5.642
44,13,7.000,315.000,-22.700,68.600,CP,5.270,6.263
45,23,4.200,315.000,-22.700,69.700,CP,5.821,6.580
45,0,4.400,315.000,-22.700,69.700,CP,5.451,5.800
45,1,4.400,315.000,-22.700,69.700,CP,4.924,5.025
45,11,5.700,315.000,-22.700,69.700,CP,5.365,5.301
45,12,7.175,315.000,-22.700,69.700,CP,5.374,5.643
45,13,8.075,315.000,-22.700,69.700,CP,5.247,6.261
46,23,3.750,315.000,-22.700,69.200,CP,5.816,6.525
46,0,3.550,315.000,-22.700,69.200,CP,5.421,5.737
46,1,3.700,315.000,-22.700,69.200,CP,4.879,4.962
46,11,6.625,315.000,-22.700,69.200,CP,5.372,5.295
46,12,6.750,315.000,-22.700,69.200,CP,5.397,5.642
46,13,7.725,315.000,-22.700,69.200,CP,5.280,6.261
47,23,4.550,315.000,-22.700,69.000,CP,5.811,6.470
47,0,5.050,315.000,-22.700,69.000,CP,5.391,5.673
47,1,4.150,315.000,-22.700,69.000,CP,4.835,4.899
47,11,5.725,315.000,-22.700,69.000,CP,5.379,5.289
47,12,7.025,315.000,-22.700,69.000,CP,5.421,5.641
47,13,8.350,315.000,-22.700,69.000,CP,5.314,6.262
48,23,2.350,315.000,-22.700,68.400,CP,5.805,6.415
48,0,2.500,315.000,-22.700,68.400,CP,5.361,5.610
48,1,2.650,315.000,-22.700,68.400,CP,4.790,4.837
48,11,6.425,315.000,-22.700,68.400,CP,5.386,5.283
48,12,7.400,315.000,-22.700,68.400,CP,5.444,5.640
48,13,8.000,315.000,-22.700,68.400,CP,5.347,6.263
49,23,6.450,315.000,-22.700,68.300,CP,5.800,6.360
49,0,5.200,315.000,-22.700,68.300,CP,5.331,5.546
49,1,4.200,315.000,-22.700,68.300,CP,4.746,4.774
49,11,6.575,315.000,-22.700,68.300,CP,5.393,5.277
49,12,7.625,315.000,-22.700,68.300,CP,5.468,5.639
49,13,8.625,315.000,-22.700,68.300,CP,5.381,6.264
50,23,5.100,315.000,-22.700,68.600,CP,5.795,6.305
50,0,4.800,315.000,-22.700,68.600,CP,5.301,5.483
50,1,3.900,315.000,-22.700,68.600,CP,4.701,4.711
50,11,6.800,315.000,-22.700,68.600,CP,5.400,5.271
50,12,7.775,315.000,-22.700,68.600,CP,5.492,5.638
50,13,8.775,315.000,-22.700,68.600,CP,5.414,6.264
51,23,4.900,315.000,-22.700,69.400,CP,5.790,6.250
51,0,4.550,315.000,-22.700,69.400,CP,5.271,5.419
51,1,3.500,315.000,-22.700,69.400,CP,4.657,4.648
51,11,5.850,315.000,-22.700,69.400,CP,5.407,5.265
51,12,7.100,315.000,-22.700,69.400,CP,5.515,5.637
51,13,8.225,315.000,-22.700,69.400,CP,5.447,6.265
52,23,3.200,315.000,-22.700,69.200,CP,5.784,6.195
52,0,3.300,315.000,-22.700,69.200,CP,5.241,5.356
52,1,3.150,315.000,-22.700,69.200,CP,4.612,4.586
52,11,5.000,315.000,-22.700,69.200,CP,5.414,5.259
52,12,6.975,315.000,-22.700,69.200,CP,5.539,5.636
