# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-10-17T12:00:24.869Z
#
# Location: GEO 30.5N 273.5E, URSI-Code EG931 EGLIN AFB
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of EG931 data provider
#
#Time                     CS   foF2 QD
2019-12-31T14:45:00.000Z  80  5.388 //
2019-12-31T15:00:00.000Z  20  5.500 //
2019-12-31T15:15:00.000Z  80  5.532 //
2019-12-31T15:30:00.000Z  90  5.725 //
2019-12-31T15:45:00.000Z  40  6.082 //
2019-12-31T16:00:00.000Z  80  5.550 //
2019-12-31T16:15:00.000Z  70  5.082 //
2019-12-31T16:30:00.000Z  95  4.850 //
2019-12-31T16:45:00.000Z  90  4.675 //
2019-12-31T17:00:00.000Z  90  4.750 //
2019-12-31T17:15:00.000Z  95  5.063 //
2019-12-31T17:30:00.000Z  90  5.063 //
2019-12-31T17:45:00.000Z  90  4.938 //
2019-12-31T18:00:00.000Z  90  5.200 //
2019-12-31T18:15:00.000Z  90  5.800 //
2019-12-31T18:30:00.000Z  90  6.013 //
2019-12-31T18:45:00.000Z  90  6.175 //
2019-12-31T19:00:00.000Z 100  6.125 //
2019-12-31T19:15:00.000Z  90  6.200 //
2019-12-31T19:30:00.000Z  95  6.575 //
2019-12-31T19:45:00.000Z  95  6.175 //
2019-12-31T20:00:00.000Z  90  5.663 //
2019-12-31T20:15:00.000Z  95  5.338 //
2019-12-31T20:30:00.000Z  90  5.313 //
