# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-15T13:32:23.000Z
#
# Location: GEO 42.6N 288.5E, URSI-Code MHJ45 MILLSTONE HILL
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of MHJ45 data provider
#
#Time                     CS   foF2 QD
2019-12-31T03:10:00.000Z  70  2.225 //
2019-12-31T03:15:00.000Z  70  2.275 //
2019-12-31T03:20:00.000Z  45  2.350 //
2019-12-31T03:25:00.000Z  15  2.175 //
2019-12-31T03:30:00.000Z  15  2.450 //
2019-12-31T03:35:00.000Z  45  2.675 //
2019-12-31T03:40:00.000Z  35  2.350 //
2019-12-31T03:45:00.000Z  35  2.750 //
2019-12-31T03:50:00.000Z  45  2.675 //
2019-12-31T03:55:00.000Z   0  2.925 //
2019-12-31T04:00:00.000Z  40  2.875 //
2019-12-31T04:05:00.000Z  45  2.775 //
2019-12-31T04:10:00.000Z  45  2.750 //
2019-12-31T04:15:00.000Z  45  2.700 //
2019-12-31T04:20:00.000Z  45  2.725 //
2019-12-31T04:25:00.000Z  65  2.575 //
2019-12-31T04:30:00.000Z  70  2.575 //
2019-12-31T04:35:00.000Z  70  2.575 //
2019-12-31T04:40:00.000Z  70  2.575 //
2019-12-31T04:45:00.000Z  70  2.650 //
2019-12-31T04:50:00.000Z  70  2.700 //
2019-12-31T04:55:00.000Z  70  2.400 //
2019-12-31T05:00:00.000Z  60  2.525 //
2019-12-31T05:05:00.000Z  70  2.275 //
2019-12-31T05:10:00.000Z  40  2.050 //
2019-12-31T05:15:00.000Z  70  2.700 //
2019-12-31T05:20:00.000Z  70  3.000 //
2019-12-31T05:25:00.000Z  70  2.925 //
2019-12-31T05:30:00.000Z  60  3.000 //
2019-12-31T05:35:00.000Z   0  3.200 //
2019-12-31T05:40:00.000Z  40  2.300 //
2019-12-31T05:45:00.000Z  70  3.525 //
2019-12-31T05:50:00.000Z  60  2.325 //
2019-12-31T05:55:00.000Z  60  2.450 //
2019-12-31T06:00:00.000Z  45  2.525 //
2019-12-31T06:05:00.000Z  45  2.550 //
2019-12-31T06:10:00.000Z  70  1.950 //
2019-12-31T06:15:00.000Z  45  3.375 //
2019-12-31T06:20:00.000Z  40  3.225 //
2019-12-31T06:25:00.000Z  60  2.225 //
2019-12-31T06:30:00.000Z   0  3.700 //
2019-12-31T06:35:00.000Z  60  3.275 //
2019-12-31T06:40:00.000Z  20  2.200 //
2019-12-31T06:45:00.000Z  70  3.750 //
2019-12-31T06:50:00.000Z  20  2.300 //
2019-12-31T06:55:00.000Z  40  2.950 //
2019-12-31T07:00:00.000Z  20  2.050 //
2019-12-31T07:05:00.000Z  40  2.750 //
2019-12-31T07:10:00.000Z  60  2.975 //
2019-12-31T07:15:00.000Z  50  2.625 //
2019-12-31T07:20:00.000Z  60  3.825 //
2019-12-31T07:25:00.000Z  70  3.775 //
2019-12-31T07:30:00.000Z  40  3.200 //
2019-12-31T07:35:00.000Z  70  3.775 //
2019-12-31T07:40:00.000Z   0  3.375 //
2019-12-31T07:45:00.000Z  70  2.725 //
2019-12-31T07:50:00.000Z  70  3.875 //
2019-12-31T07:55:00.000Z   0  3.325 //
2019-12-31T08:00:00.000Z  40  2.850 //
2019-12-31T08:05:00.000Z  40  3.300 //
2019-12-31T08:10:00.000Z   0  3.325 //
2019-12-31T08:15:00.000Z  50  2.800 //
2019-12-31T08:20:00.000Z  60  3.425 //
2019-12-31T08:25:00.000Z  70  2.775 //
2019-12-31T08:30:00.000Z  60  2.975 //
2019-12-31T08:35:00.000Z  70  2.650 //
2019-12-31T08:40:00.000Z  40  2.425 //
2019-12-31T08:45:00.000Z  60  2.825 //
2019-12-31T08:50:00.000Z  40  2.925 //
